epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,1216.53,0.80236,0.52185,1.0687,0.975,0.97079,0.98929,0.81833,0.71132,0.326,1.01122,0.0084457,0.0084457,0.0084457
159,1224.2,0.82708,0.53511,1.0786,0.97756,0.98227,0.99053,0.82323,0.70488,0.32029,1.00342,0.0084358,0.0084358,0.0084358
160,1231.8,0.83326,0.5661,1.08024,0.97215,0.98058,0.99023,0.81357,0.73307,0.32032,1.01336,0.0084259,0.0084259,0.0084259
161,1239.46,0.80538,0.52725,1.07201,0.98421,0.97768,0.99309,0.81902,0.71559,0.3133,1.01117,0.008416,0.008416,0.008416
162,1247.1,0.80414,0.52512,1.06506,0.96081,0.95952,0.9894,0.82223,0.71615,0.35163,1.01334,0.0084061,0.0084061,0.0084061
163,1254.73,0.81543,0.553,1.07157,0.97146,0.97345,0.98837,0.82046,0.72117,0.34529,1.03046,0.0083962,0.0083962,0.0083962
164,1262.38,0.80402,0.52587,1.06792,0.97211,0.98397,0.9886,0.82091,0.69946,0.33012,1.00235,0.0083863,0.0083863,0.0083863
165,1270.01,0.81606,0.52992,1.07292,0.97697,0.97606,0.99114,0.82086,0.71069,0.31766,1.00587,0.0083764,0.0083764,0.0083764
166,1277.62,0.80168,0.52683,1.06984,0.97371,0.9813,0.99092,0.81972,0.71355,0.3216,1.00227,0.0083665,0.0083665,0.0083665
167,1285.27,0.80449,0.52514,1.06666,0.97877,0.97293,0.9898,0.82072,0.70513,0.33362,1.00167,0.0083566,0.0083566,0.0083566
168,1292.94,0.80212,0.51682,1.06706,0.96737,0.97177,0.9917,0.82416,0.70589,0.32047,1.00161,0.0083467,0.0083467,0.0083467
169,1300.58,0.80262,0.52238,1.06387,0.97667,0.97329,0.99263,0.82657,0.70818,0.33502,1.00454,0.0083368,0.0083368,0.0083368
170,1308.4,0.81397,0.53124,1.07015,0.97684,0.97308,0.98808,0.82118,0.70572,0.34019,1.00519,0.0083269,0.0083269,0.0083269
171,1316,0.80917,0.52985,1.06967,0.96778,0.96814,0.98759,0.81235,0.73397,0.33836,1.0143,0.008317,0.008317,0.008317
172,1323.56,0.78824,0.50642,1.06224,0.97348,0.96085,0.9873,0.80599,0.75906,0.35835,1.03057,0.0083071,0.0083071,0.0083071
173,1331.15,0.79353,0.51371,1.06131,0.98222,0.9731,0.9899,0.82046,0.71342,0.31638,1.02148,0.0082972,0.0082972,0.0082972
174,1338.8,0.80075,0.5208,1.06239,0.97721,0.96815,0.98913,0.8206,0.72211,0.32459,1.02066,0.0082873,0.0082873,0.0082873
175,1346.41,0.79826,0.53174,1.06263,0.97797,0.97345,0.99066,0.82425,0.72053,0.31128,1.02017,0.0082774,0.0082774,0.0082774
176,1354.05,0.79798,0.52676,1.07062,0.97917,0.97607,0.98841,0.81152,0.742,0.33084,1.02391,0.0082675,0.0082675,0.0082675
177,1361.66,0.79566,0.53017,1.06684,0.98498,0.98531,0.99289,0.82166,0.71731,0.31024,1.01182,0.0082576,0.0082576,0.0082576
178,1369.25,0.78092,0.50157,1.05813,0.96921,0.98611,0.98951,0.81792,0.73726,0.32054,1.01612,0.0082477,0.0082477,0.0082477
